WA1,WA2,ApL1,ApL2,MaxP,MaxV2,MaxV3,MaxM2,MaxM3,MaxT,U1,U2,U3,R1,R2,R3,PGA,fc,Ec,fy,fu
560.79328025, 478.85871950, 9.00000000, 9.00000000, -9819.28549104, -1602.24189495, -137.26368717, 978.47822633, 5389.27107472, 234.11484613, -0.00098774, 0.04502754, 0.00026662, 0.00209036, -0.00021569, 0.00029682,0.44720000, 30.89721473, 26733.47785409, 447.19573102, 744.23742237
684.68068970, 465.09018290, 9.00000000, 7.00000000, -8767.70978713, 1555.15004289, -177.86748799, 1482.98827420, 5262.62059165, 149.74943906, 0.00085046, 0.02578227, 0.00007502, 0.00182034, 0.00015216, 0.00022394,0.97500000, 28.28081924, 24104.62590373, 448.16042060, 744.86913990
281.91176755, 853.30603645, 3.00000000, 9.00000000, -10929.56428424, -1728.00717474, -225.44754619, 1627.71051415, 5845.41192989, 355.53813950, 0.00130067, 0.05200179, 0.00093976, 0.00250245, 0.00021175, 0.00041920,0.82380000, 34.30398297, 27815.49439973, 419.35749580, 703.35550281
478.83910620, 89.12283520, 9.00000000, 2.00000000, -12993.59566279, 1850.51066354, -250.26366765, 1810.74801671, 6204.52093906, 455.89439818, 0.00398920, 0.14959584, 0.00083304, 0.00320725, 0.00065374, 0.00085623,0.27290000, 34.42152773, 28379.27445783, 506.07036490, 750.19174959
402.44530270, 577.29787220, 6.00000000, 9.00000000, -12993.59566279, -1764.05717885, -250.26366765, 1810.74801671, 5850.64428085, 362.57303594, -0.00221541, 0.00069395, -0.00075952, 0.00000242, -0.00043076, -0.00003329,0.00000000, 32.93734901, 28003.37239427, 500.52000175, 740.39203544
276.52791670, 205.10608475, 4.00000000, 6.00000000, -7247.11534742, -1459.22366858, -118.99918862, 980.86374480, 4866.82466585, 98.64399598, -0.00089417, 0.02052475, -0.00003726, 0.00113329, -0.00016750, 0.00015069,0.65880000, 40.53702537, 31052.18627909, 470.43484579, 748.03406035
482.20278715, 442.07397535, 9.00000000, 9.00000000, -11809.07697885, 1663.42134808, -190.28005132, 1381.19236374, 5556.24996458, 312.13433822, 0.00205016, 0.09451280, 0.00055080, 0.00253799, 0.00031350, 0.00054793,0.78320000, 32.63005038, 27515.47310370, 412.43562488, 717.31554857
519.55631700, 503.99316345, 9.00000000, 9.00000000, -9032.24444169, 1483.96080973, -95.80032479, 823.03080951, 4958.37890118, 134.24658102, 0.00021986, 0.01489790, -0.00015282, 0.00197681, 0.00002494, 0.00013399,0.69520000, 28.48070986, 24230.95726451, 471.24558528, 647.07309887
431.10033400, 651.65189250, 5.00000000, 9.00000000, -11795.30049821, -1708.79073105, -189.00296155, 1369.90219215, 5727.99702885, 315.57818629, 0.00203212, 0.09431105, 0.00054445, 0.00237329, 0.00030063, 0.00053809,0.78320000, 36.00788546, 29361.93739694, 444.66886280, 637.89247726
578.52370345, 334.16159875, 9.00000000, 9.00000000, -11835.81840590, 1685.85817162, -187.87278100, 1397.44189151, 5644.03894911, 322.90382945, 0.00202270, 0.09585950, 0.00056298, 0.00279951, 0.00031652, 0.00053421,0.78320000, 28.01938553, 24378.35966274, 472.37489320, 725.78630288
53.42662920, 476.30899050, 1.00000000, 9.00000000, -7142.51357189, -1258.87018871, -82.80082834, 770.97461676, 4880.24799878, 93.28873840, -0.00067926, 0.01264523, -0.00014799, 0.00103916, -0.00016348, 0.00017521,0.52740000, 42.68541781, 31923.41128914, 505.51100594, 730.90684390
474.87721960, 1096.88360915, 9.00000000, 9.00000000, -11821.42853599, 1636.82676178, -158.45118532, 1203.19015870, 5528.85027572, 254.24467555, 0.00033408, 0.04669573, 0.00027801, 0.00243404, 0.00002607, 0.00032366,1.02670000, 30.97430981, 26132.72214823, 475.87954376, 677.40270990
669.97071470, 519.91916305, 9.00000000, 9.00000000, -11245.29695544, -1636.67884210, -237.10182217, 1703.33497855, 5477.61684768, 376.57838211, 0.00101624, 0.05129143, 0.00087909, 0.00260175, 0.00016680, 0.00037921,0.82380000, 33.52421886, 27252.13640082, 479.52357585, 681.12635080
349.45997275, 563.60778880, 5.00000000, 9.00000000, -11245.29695544, -1636.67884210, -237.10182217, 1703.33497855, 5477.61684768, 376.57838211, -0.00228803, 0.00059539, -0.00076833, 0.00001095, -0.00044362, -0.00003512,0.00000000, 34.95214938, 28540.57506059, 420.55444038, 634.79782312
488.03774390, 1049.39980985, 9.00000000, 9.00000000, -9071.22559424, 1409.23436864, -81.32005523, 697.67963383, 5217.53910504, 107.09288621, 0.00073731, 0.01533948, -0.00012087, 0.00174611, 0.00011520, 0.00018647,0.69520000, 34.00251674, 27611.90528527, 499.99689807, 687.50379437
599.49032115, 406.54448240, 9.00000000, 9.00000000, -8749.58634562, -1476.27995798, -184.68167589, 1584.98063581, 4933.91362926, 150.67010118, 0.00032960, 0.02580061, 0.00009343, 0.00168664, 0.00004189, 0.00022523,0.97500000, 28.38622779, 25748.93603312, 429.97980764, 699.27072300
102.08722650, 619.89795980, 2.00000000, 9.00000000, -11360.93924352, -1659.01825150, -243.57334903, 1755.10289321, 5554.36100545, 365.26239048, 0.00079716, 0.05146550, 0.00085845, 0.00252664, 0.00012149, 0.00040156,0.82380000, 33.64275380, 28414.23400799, 575.85797149, 684.65614346
72.96147600, 600.44156620, 1.00000000, 9.00000000, -11360.93924352, -1659.01825150, -243.57334903, 1755.10289321, 5554.36100545, 365.26239048, -0.00226007, 0.00053823, -0.00075699, 0.00001707, -0.00043776, 0.00002724,0.00000000, 37.82597943, 30068.29824835, 486.06750299, 668.67159071
45.46362940, 269.86920135, 1.00000000, 4.00000000, -9380.30378488, 1587.96653170, -140.36013868, 995.00129365, 5305.17777972, 209.98229179, -0.00126017, 0.04114283, 0.00026182, 0.00217117, -0.00028696, 0.00031758,0.19130000, 29.71407634, 26313.63342752, 419.64422812, 655.50259650
372.34869385, 680.65015655, 9.00000000, 9.00000000, -7363.12279388, -1222.33659316, -75.48671481, 719.21809909, 4799.57869063, 87.04418034, -0.00041738, 0.01286531, -0.00021940, 0.00117859, -0.00010741, 0.00016348,0.52740000, 32.03749120, 26568.27425729, 472.42662573, 733.71228679
675.76644485, 560.79328025, 7.00000000, 9.00000000, -11170.69812686, -1607.12932164, -162.37724134, 1288.37778590, 5384.23789959, 294.46863393, -0.00013136, 0.04756063, 0.00040211, 0.00234907, -0.00007325, 0.00024825,1.02670000, 32.67613604, 26185.47957693, 420.78401818, 703.92592435
941.10497390, 171.28294890, 9.00000000, 3.00000000, -11170.69812686, -1607.12932164, -162.37724134, 1288.37778590, 5384.23789959, 294.46863393, -0.00232545, -0.00072715, -0.00078926, 0.00010370, -0.00043648, -0.00005507,0.00000000, 34.42785527, 28568.63979482, 521.58010212, 736.53873062
315.00921130, 1104.90544885, 9.00000000, 9.00000000, -13057.55326070, -1905.40494240, -216.18586339, 1563.79423972, 6423.75017248, 505.33444032, 0.00498699, 0.15103373, 0.00081458, 0.00315654, 0.00083278, 0.00094908,0.27290000, 35.72324323, 27798.79929075, 411.07973921, 636.77546903
