ApL1,ApL2,Ec,MaxM2,MaxM3,MaxP,MaxT,MaxV2,MaxV3,PGA,U1,U2,U3,WA1,WA2,fc,fu,fy
9.000000e+000,9.000000e+000,2.532775e+004,8.097717e+002,5.495901e+003,-1.154594e+004,2.510751e+002,-1.492508e+003,-9.339365e+001,6.588000e-001,2.472300e-004,4.207224e-002,7.247000e-005,8.780090e+002,7.339689e+002,2.864924e+001,6.795860e+002,4.299109e+002
9.000000e+000,9.000000e+000,2.485399e+004,7.857766e+002,5.140074e+003,-8.666399e+003,1.125190e+002,1.543035e+003,-8.975005e+001,5.274000e-001,-2.253400e-004,1.212857e-002,-7.428300e-004,1.084743e+003,1.104905e+003,2.866313e+001,7.451631e+002,4.330122e+002
9.000000e+000,9.000000e+000,2.396514e+004,8.162567e+002,5.356272e+003,-9.841197e+003,1.745125e+002,-1.681906e+003,-9.526229e+001,6.588000e-001,-3.596700e-004,2.476652e-002,-1.383800e-004,7.852577e+002,1.171689e+003,2.559048e+001,7.193705e+002,4.233238e+002
9.000000e+000,9.000000e+000,2.454938e+004,8.980849e+002,5.466664e+003,-1.106256e+004,3.079593e+002,-1.636946e+003,-1.322539e+002,5.274000e-001,-1.812500e-004,2.626010e-002,1.395600e-004,6.906235e+002,9.137935e+002,2.840858e+001,6.795860e+002,3.972857e+002
8.000000e+000,9.000000e+000,2.551355e+004,1.629453e+003,5.211172e+003,-9.873299e+003,3.221378e+002,-1.613392e+003,-1.816618e+002,6.952000e-001,4.357700e-003,9.531920e-002,4.426200e-004,7.063534e+002,7.199454e+002,2.916101e+001,7.555839e+002,4.317934e+002
9.000000e+000,9.000000e+000,2.488846e+004,7.751195e+002,4.890008e+003,-7.320286e+003,1.050492e+002,1.808750e+003,-8.338320e+001,5.274000e-001,-1.106900e-004,1.451258e-002,-2.194000e-004,8.780776e+002,8.363994e+002,2.674180e+001,7.032331e+002,4.323523e+002
9.000000e+000,9.000000e+000,2.300116e+004,8.415482e+002,5.449148e+003,-1.104036e+004,2.246506e+002,1.287693e+003,-9.742113e+001,4.472000e-001,3.838100e-004,1.499343e-001,2.610200e-004,7.063534e+002,7.524446e+002,2.529862e+001,6.233337e+002,4.291923e+002
9.000000e+000,9.000000e+000,2.603617e+004,1.742602e+003,6.078872e+003,-1.319344e+004,4.723940e+002,-1.607129e+003,-2.449163e+002,6.952000e-001,4.588700e-003,1.510145e-001,9.104200e-004,1.072240e+003,1.069199e+003,2.910938e+001,7.245497e+002,4.163087e+002
9.000000e+000,9.000000e+000,2.469437e+004,9.137654e+002,5.491667e+003,-9.479051e+003,1.506701e+002,-1.822221e+003,-1.093446e+002,6.952000e-001,4.192500e-003,4.064747e-002,7.228000e-005,1.072240e+003,9.127736e+002,2.693046e+001,7.191710e+002,4.224489e+002
9.000000e+000,9.000000e+000,2.551216e+004,7.392453e+002,4.807339e+003,-7.392215e+003,9.844640e+001,1.501034e+003,-7.865752e+001,4.031000e-001,-8.712100e-004,1.173923e-002,-7.569900e-004,9.948945e+002,9.153920e+002,2.939565e+001,7.448691e+002,4.255810e+002
9.000000e+000,9.000000e+000,2.263160e+004,1.547539e+003,5.672524e+003,-1.136094e+004,4.468512e+002,-1.659018e+003,-1.909264e+002,4.472000e-001,2.211780e-003,5.204275e-002,2.873200e-004,1.033807e+003,7.429910e+002,2.459000e+001,7.344496e+002,4.097537e+002
7.000000e+000,9.000000e+000,2.442680e+004,6.776373e+002,4.907576e+003,-7.592585e+003,9.938074e+001,-1.595804e+003,-7.629688e+001,6.588000e-001,3.840000e-005,2.114653e-002,-1.871100e-004,8.105687e+002,9.647292e+002,2.775911e+001,7.103470e+002,4.310111e+002
9.000000e+000,9.000000e+000,2.373408e+004,7.466648e+002,5.007488e+003,-7.297114e+003,9.418304e+001,-1.467083e+003,-7.774988e+001,6.588000e-001,-8.210000e-006,1.177781e-002,-7.569900e-004,9.736336e+002,7.251429e+002,2.635240e+001,6.383220e+002,4.163087e+002
9.000000e+000,9.000000e+000,2.491974e+004,8.353311e+002,5.232771e+003,-9.324291e+003,1.272418e+002,-1.588580e+003,-1.005200e+002,6.952000e-001,3.926250e-003,9.306002e-002,1.520100e-004,7.216420e+002,7.726954e+002,2.769596e+001,7.016815e+002,4.275789e+002
9.000000e+000,9.000000e+000,2.397298e+004,8.812300e+002,4.989607e+003,-7.732480e+003,1.497375e+002,-1.490734e+003,-8.835624e+001,5.274000e-001,-3.530000e-006,3.742103e-002,-2.672000e-004,9.772425e+002,7.146106e+002,2.613031e+001,7.074629e+002,4.155273e+002
9.000000e+000,9.000000e+000,2.379279e+004,9.066282e+002,5.127311e+003,-8.466600e+003,1.353491e+002,-1.570361e+003,-1.099119e+002,4.031000e-001,3.878100e-004,4.772678e-002,2.388300e-004,9.411050e+002,8.060968e+002,2.599888e+001,8.348365e+002,4.133643e+002
9.000000e+000,9.000000e+000,2.618548e+004,7.665798e+002,4.804662e+003,-7.363041e+003,8.533778e+001,-1.597281e+003,-8.565714e+001,4.472000e-001,-8.834500e-004,1.247594e-002,-7.779900e-004,7.063534e+002,1.110309e+003,2.965802e+001,6.442627e+002,4.027986e+002
9.000000e+000,9.000000e+000,2.503544e+004,9.197860e+002,5.660587e+003,-9.889819e+003,3.500379e+002,1.634274e+003,-1.351226e+002,4.031000e-001,-9.702600e-004,2.035658e-002,2.441300e-004,7.063534e+002,7.051177e+002,2.856849e+001,6.791282e+002,4.175886e+002
9.000000e+000,9.000000e+000,2.470261e+004,8.510466e+002,5.252078e+003,-7.616265e+003,1.181397e+002,-1.629280e+003,-1.089936e+002,6.588000e-001,-1.533700e-004,3.700559e-002,9.215000e-005,1.080977e+003,9.458612e+002,2.815313e+001,7.868396e+002,3.858544e+002
9.000000e+000,9.000000e+000,2.573198e+004,5.968787e+002,4.741995e+003,-7.142514e+003,8.344238e+001,-1.564095e+003,-6.675264e+001,6.588000e-001,-2.019520e-003,5.452000e-005,-2.387300e-004,9.476852e+002,9.534614e+002,2.921044e+001,6.422611e+002,4.338018e+002
9.000000e+000,9.000000e+000,2.535351e+004,1.679877e+003,6.400240e+003,-1.377834e+004,4.876834e+002,-1.474376e+003,-2.396984e+002,6.588000e-001,4.257480e-003,9.633130e-002,7.552000e-004,1.037867e+003,1.108583e+003,2.997572e+001,6.901494e+002,4.093077e+002
9.000000e+000,9.000000e+000,2.532632e+004,1.381344e+003,5.495618e+003,-1.148155e+004,3.315295e+002,-1.220632e+003,-1.793366e+002,5.274000e-001,-2.634800e-004,4.233315e-002,1.146000e-004,8.164625e+002,7.429910e+002,2.942618e+001,7.008383e+002,4.047889e+002
9.000000e+000,9.000000e+000,2.521426e+004,7.116875e+002,5.586134e+003,-7.651532e+003,1.150964e+002,-1.476280e+003,-8.050887e+001,4.472000e-001,9.367000e-004,2.580061e-002,-1.307700e-004,7.063534e+002,9.888438e+002,2.926074e+001,6.725916e+002,4.246732e+002
9.000000e+000,9.000000e+000,2.530450e+004,8.275901e+002,5.557421e+003,-1.148643e+004,2.267382e+002,-1.242562e+003,-9.575005e+001,6.952000e-001,4.336780e-003,5.115043e-002,6.686000e-005,9.716919e+002,8.008012e+002,2.927011e+001,7.451631e+002,4.207840e+002
9.000000e+000,9.000000e+000,2.565587e+004,9.552240e+002,5.478622e+003,-8.989140e+003,2.168446e+002,1.448492e+003,-1.403601e+002,6.952000e-001,-3.610000e-006,4.138554e-002,1.733200e-004,9.458612e+002,7.524446e+002,2.836500e+001,8.094382e+002,4.166593e+002
9.000000e+000,9.000000e+000,2.449936e+004,1.305468e+003,5.285587e+003,-1.034888e+004,2.741289e+002,1.597899e+003,-1.610407e+002,5.274000e-001,3.450600e-004,2.162714e-002,9.517000e-005,9.213446e+002,9.228548e+002,2.548601e+001,7.532008e+002,4.269153e+002
9.000000e+000,9.000000e+000,2.528968e+004,8.493442e+002,4.845938e+003,-7.363123e+003,9.775380e+001,1.229816e+003,-8.835624e+001,6.588000e-001,-6.411100e-004,1.542295e-002,-2.802000e-004,9.169904e+002,8.559048e+002,2.961013e+001,6.472032e+002,4.244219e+002
9.000000e+000,9.000000e+000,2.441103e+004,1.527500e+003,6.361964e+003,-1.179530e+004,4.558944e+002,-1.701556e+003,-2.114531e+002,6.952000e-001,4.340390e-003,1.509358e-001,9.101300e-004,9.254241e+002,8.433130e+002,2.641859e+001,6.563810e+002,4.299109e+002
9.000000e+000,9.000000e+000,2.557955e+004,7.904798e+002,5.009020e+003,-9.552376e+003,1.220288e+002,1.667415e+003,-1.082544e+002,6.952000e-001,-8.660000e-004,6.366400e-004,-7.722500e-004,1.282573e+003,1.033807e+003,2.958791e+001,7.265002e+002,4.128195e+002
9.000000e+000,9.000000e+000,2.577305e+004,8.698106e+002,5.394037e+003,-1.133819e+004,1.946403e+002,1.606338e+003,-1.112694e+002,4.031000e-001,-8.377000e-004,1.566092e-002,-1.538300e-004,8.164625e+002,7.701653e+002,2.996092e+001,7.655699e+002,4.208884e+002
9.000000e+000,9.000000e+000,2.392443e+004,8.980849e+002,5.077224e+003,-7.772597e+003,1.358954e+002,1.586381e+003,-1.056527e+002,6.952000e-001,2.180130e-003,2.480357e-002,-1.576200e-004,1.081634e+003,8.027822e+002,2.635914e+001,7.040853e+002,4.214699e+002
9.000000e+000,9.000000e+000,2.386567e+004,8.284173e+002,5.319692e+003,-9.885356e+003,1.952138e+002,-1.440594e+003,-9.391572e+001,4.031000e-001,2.225880e-003,4.704320e-002,-1.035500e-004,1.161588e+003,8.841872e+002,2.826745e+001,6.765703e+002,4.243492e+002
9.000000e+000,9.000000e+000,2.484353e+004,1.709779e+003,5.530052e+003,-1.004706e+004,3.069745e+002,-1.695921e+003,-2.391676e+002,5.274000e-001,4.421700e-004,2.052475e-002,4.049000e-005,1.072240e+003,8.533060e+002,2.990803e+001,7.156696e+002,4.186537e+002
9.000000e+000,9.000000e+000,2.502811e+004,7.317735e+002,4.986819e+003,-8.783940e+003,1.385116e+002,1.612471e+003,-8.029919e+001,4.031000e-001,9.145100e-004,1.466318e-002,-2.612900e-004,8.916500e+002,9.809788e+002,2.742762e+001,7.400427e+002,4.097537e+002
9.000000e+000,9.000000e+000,2.458348e+004,1.462780e+003,6.188082e+003,-1.311917e+004,4.690977e+002,-1.633641e+003,-1.913899e+002,6.588000e-001,4.287980e-003,1.502444e-001,7.552000e-004,1.051459e+003,1.195656e+003,2.642647e+001,6.696921e+002,3.952608e+002
9.000000e+000,9.000000e+000,2.507476e+004,9.874597e+002,6.156400e+003,-1.317105e+004,4.571804e+002,-1.636498e+003,-1.818019e+002,4.031000e-001,-7.586200e-004,4.484626e-002,1.504600e-004,9.946787e+002,8.734587e+002,2.710282e+001,6.912782e+002,3.878036e+002
9.000000e+000,9.000000e+000,2.423096e+004,7.478782e+002,5.024480e+003,-8.715759e+003,1.064793e+002,-1.234731e+003,-7.777798e+001,6.588000e-001,-3.204500e-004,4.105035e-002,-3.726000e-005,1.080977e+003,7.145714e+002,2.893202e+001,7.241108e+002,3.962357e+002
9.000000e+000,9.000000e+000,2.425707e+004,7.644042e+002,5.196776e+003,-9.391890e+003,1.236853e+002,-1.533703e+003,-8.568961e+001,6.588000e-001,2.456800e-004,4.696486e-002,-1.483400e-004,8.481870e+002,9.006035e+002,2.866185e+001,7.173936e+002,4.259242e+002
9.000000e+000,9.000000e+000,2.278524e+004,8.623078e+002,5.869286e+003,-1.000014e+004,2.889510e+002,1.513878e+003,-1.102551e+002,5.274000e-001,2.205070e-003,1.495423e-001,5.868000e-004,8.554243e+002,9.006035e+002,2.454963e+001,6.961576e+002,3.999377e+002
9.000000e+000,9.000000e+000,2.488862e+004,1.789180e+003,6.376255e+003,-1.334206e+004,4.876834e+002,-1.661826e+003,-2.442502e+002,4.031000e-001,4.986990e-003,1.506968e-001,9.003900e-004,7.063534e+002,9.050557e+002,2.877778e+001,6.415187e+002,3.894020e+002
9.000000e+000,9.000000e+000,2.402446e+004,9.950013e+002,5.434514e+003,-1.092798e+004,3.032408e+002,-1.731425e+003,-1.345837e+002,5.274000e-001,1.773000e-005,2.624473e-002,-1.442900e-004,1.049115e+003,1.069199e+003,2.690943e+001,7.272213e+002,4.134683e+002
6.000000e+000,9.000000e+000,2.580251e+004,9.783268e+002,5.481331e+003,-9.296593e+003,2.242913e+002,-1.577058e+003,-1.394034e+002,4.031000e-001,6.819100e-004,4.433038e-002,4.021100e-004,6.806501e+002,7.348319e+002,2.883150e+001,6.427066e+002,4.277722e+002
